diagnosis_key,icd_code,icd_version,diagnosis_title
9-01200,01200,9,"Tuberculous pleurisy, unspecified"
9-01525,01525,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
9-29010,29010,9,"Presenile dementia, uncomplicated"
9-29512,29512,9,"Disorganized type schizophrenia, chronic"
9-29514,29514,9,"Disorganized type schizophrenia, chronic with acute exacerbation"
9-30023,30023,9,Social phobia
9-37832,37832,9,Hypotropia
9-42971,42971,9,Acquired cardiac septal defect
9-48882,48882,9,Influenza due to identified novel influenza A virus with other respiratory manifestations
9-52411,52411,9,"Anomalies of relationship of jaw to cranial base, maxillary asymmetry"
9-5920,5920,9,Calculus of kidney
9-7220,7220,9,Displacement of cervical intervertebral disc without myelopathy
9-72705,72705,9,Other tenosynovitis of hand and wrist
9-7323,7323,9,Juvenile osteochondrosis of upper extremity
9-7395,7395,9,"Nonallopathic lesions, pelvic region"
9-8028,8028,9,Closed fracture of other facial bones
9-80454,80454,9,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
9-83918,83918,9,"Open dislocation, multiple cervical vertebrae"
9-85204,85204,9,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
9-9633,9633,9,Poisoning by alkalizing agents
9-E8354,E8354,9,Other and unspecified fall in water transport injuring water skier
9-V0482,V0482,9,Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV)
9-V8301,V8301,9,Asymptomatic hemophilia A carrier
9-05601,05601,9,Encephalomyelitis due to rubella
9-1719,1719,9,"Malignant neoplasm of connective and other soft tissue, site unspecified"
9-17302,17302,9,Squamous cell carcinoma of skin of lip
9-30591,30591,9,"Other, mixed, or unspecified drug abuse, continuous"
9-38503,38503,9,"Tympanosclerosis involving tympanic membrane, ear ossicles, and middle ear"
9-6028,6028,9,Other specified disorders of prostate
9-6185,6185,9,Prolapse of vaginal vault after hysterectomy
9-67314,67314,9,"Amniotic fluid embolism, postpartum condition or complication"
9-71991,71991,9,"Unspecified disorder of joint, shoulder region"
9-75562,75562,9,"Coxa vara, congenital"
9-8029,8029,9,Open fracture of other facial bones
9-80420,80420,9,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
9-8322,8322,9,Nursemaid's elbow
9-85105,85105,9,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
9-85143,85143,9,"Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
9-85319,85319,9,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with concussion, unspecified"
9-87262,87262,9,"Open wound of ossicles, without mention of complication"
9-8781,8781,9,"Open wound of penis, complicated"
9-9630,9630,9,Poisoning by antiallergic and antiemetic drugs
9-9690,9690,9,Poisoning-antidepressant
9-V1249,V1249,9,Personal history of other disorders of nervous system and sense organs
9-V5302,V5302,9,Fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord)
9-01223,01223,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
9-0793,0793,9,Rhinovirus infection in conditions classified elsewhere and of unspecified site
9-07998,07998,9,Unspecified chlamydial infection
9-311,311,9,"Depressive disorder, not elsewhere classified"
9-3558,3558,9,"Mononeuritis of lower limb, unspecified"
9-37412,37412,9,Mechanical ectropion
9-38011,38011,9,Acute infection of pinna
9-53230,53230,9,"Acute duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction"
9-65260,65260,9,"Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable"
9-71183,71183,9,"Arthropathy associated with other infectious and parasitic diseases, forearm"
9-71841,71841,9,"Contracture of joint, shoulder region"
9-7606,7606,9,Surg op on mother aff nb
9-7673,7673,9,Other injuries to skeleton due to birth trauma
9-79512,79512,9,Papanicolaou smear of vagina with atypical squamous cells cannot exclude high grade squamous intraepithelial lesion (ASC-H)
9-92703,92703,9,Crushing injury of upper arm
9-96900,96900,9,"Poisoning by antidepressant, unspecified"
9-9709,9709,9,Poisoning by unspecified central nervous system stimulant
9-V195,V195,9,Family history of congenital anomalies
9-1030,1030,9,Primary lesions of pinta
9-1638,1638,9,Malignant neoplasm of other specified sites of pleura
