icd_code,icd_version,diagnosis_title,diagnosis_key
01200,9,"Tuberculous pleurisy, unspecified",9-01200
01525,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9-01525
29010,9,"Presenile dementia, uncomplicated",9-29010
29512,9,"Disorganized type schizophrenia, chronic",9-29512
29514,9,"Disorganized type schizophrenia, chronic with acute exacerbation",9-29514
30023,9,Social phobia,9-30023
37832,9,Hypotropia,9-37832
42971,9,Acquired cardiac septal defect,9-42971
48882,9,Influenza due to identified novel influenza A virus with other respiratory manifestations,9-48882
52411,9,"Anomalies of relationship of jaw to cranial base, maxillary asymmetry",9-52411
5920,9,Calculus of kidney,9-5920
7220,9,Displacement of cervical intervertebral disc without myelopathy,9-7220
72705,9,Other tenosynovitis of hand and wrist,9-72705
7323,9,Juvenile osteochondrosis of upper extremity,9-7323
7395,9,"Nonallopathic lesions, pelvic region",9-7395
8028,9,Closed fracture of other facial bones,9-8028
80454,9,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",9-80454
83918,9,"Open dislocation, multiple cervical vertebrae",9-83918
85204,9,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",9-85204
9633,9,Poisoning by alkalizing agents,9-9633
E8354,9,Other and unspecified fall in water transport injuring water skier,9-E8354
V0482,9,Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV),9-V0482
V8301,9,Asymptomatic hemophilia A carrier,9-V8301
05601,9,Encephalomyelitis due to rubella,9-05601
1719,9,"Malignant neoplasm of connective and other soft tissue, site unspecified",9-1719
17302,9,Squamous cell carcinoma of skin of lip,9-17302
30591,9,"Other, mixed, or unspecified drug abuse, continuous",9-30591
38503,9,"Tympanosclerosis involving tympanic membrane, ear ossicles, and middle ear",9-38503
6028,9,Other specified disorders of prostate,9-6028
6185,9,Prolapse of vaginal vault after hysterectomy,9-6185
67314,9,"Amniotic fluid embolism, postpartum condition or complication",9-67314
71991,9,"Unspecified disorder of joint, shoulder region",9-71991
75562,9,"Coxa vara, congenital",9-75562
8029,9,Open fracture of other facial bones,9-8029
80420,9,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",9-80420
8322,9,Nursemaid's elbow,9-8322
85105,9,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",9-85105
85143,9,"Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",9-85143
85319,9,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with concussion, unspecified",9-85319
87262,9,"Open wound of ossicles, without mention of complication",9-87262
8781,9,"Open wound of penis, complicated",9-8781
9630,9,Poisoning by antiallergic and antiemetic drugs,9-9630
